	2562
Helen C. Causton	76169
Stephen Robinson	79879
Yael Strulovici-Barel	92114
Alexander Linden	161864
Michael Elliott	152195
Daniela Fera	77924
Guanghui Han	94481
Richard L. Graham	163266
Franjo Jovic	27670
Subodha Gunawardena	134024
Duygu ?elik	110602
Jorge Levera	160779
Ilya Shlyakhter	122694
Violeta Leoreanu Fotea	57468
Raghuraj Rao	88313
Stefano Panzeri	44018
Lisa Bedore	70790
Dawei Huang	25639
Christian Gross	130492
Jerry W. Stuth	31663
Mokamed El-Ayyadi	790
Simone König	77580
Aminollah Mahabadi	153808
Timothy W. King	132264
Xiaoman Li	82890
Patrick Bahr	124716
Chunfang Li	123780
Pascal Bianchi	18603
S. Raman	70958
Anne-Nathalie Volkoff	97982
Elisabetta Fersini	16189
Jana Dittmann	74813
Avi Zulti	10565
Massimiliano Saba	96791
Weetit Wanalertlak	140945
Kourosh Parsa	108055
Jukka Mannerkoski	159659
Giuseppe Visaggio	146716
W. Leslie Rogers	995
Jagannathan Narasimhan	121986
Denis Burdakov	67790
Haiquan Wang	4210
Weihua Zhuang	130188
Peter J. Bailey	15702
Maoshun He	57540
Zhixin Liu	20738
María-José Escobar	38995
Gabriel Kerneis	124463
Justas Kranauskas	38819
Mathieu Vrac	121167
C. Garavaglia	136768
Michael Lappe	78150
Amit M. Bhosle	115729
Ning Weng	129958
Erez Perelman	35200
Iris Gaber	141189
Jingliang Peng	25341
Josef Fenk	140299
R. A. Berg	147925
Hongli Dong	21096
Tomàs Marquès-Bonet	103488
Stephen M. Smith	34063
C. Jotin Khisty	55466
Jens Franke	156373
Larry Y. Onotera	160338
Yong Lian	12239
Yong Liao	130455
Anugeetha Kunjithapatham	72772
J. Delve	32101
Qiong Li	11409
Sumit Singh	142608
Jan Faigl	66630
Daniel J. Simons	103371
Mohammad S. Kiaei	158904
Jianhua Lin	1832
Edward J. Weldon Jr.	160407
Joan E. Sieber	146756
S. Arumugam	47001
Qihang Peng	134083
Raúl Enrique Sánchez-Yáñez	58673
Filipe X. Catry	31953
Hongxing Zou	19502
Harry Zuzan	101688
Laura Bozzelli	118402
Jiuxin Cao	154580
James L. N. Wood	104104
Randal A. Koene	42050
Lan Liu	115834
Kevin Crouse	94845
Paola Quaglia	101580
Sergio Stecchi	113197
Jeremy D. Jackson	33821
Noushin Ashrafi	30180
C. Steven Carmack	97517
Tushar Saxena	37923
H. Taniguchi	112000
Ira M. Longini Jr.	102913
Ichitaro Yamazaki	25107
Priyanka Gupta	93263
Peerapon Siripongwutikorn	138495
Hugo Willy	87804
M. D. Oxer	81817
Asvin Ananthanarayan	160777
Philippe Baldy	120616
Jonathan Dowdall	33686
Hye-Sun Kim	26576
Elizabeth D. Hickman	13576
Michael Blumenstein	48522
Rüdiger Rudolf	120877
Julian Rathke	119917
Ying Lu	57662
Gam D. Nguyen	127863
Steven Pelech	85757
Nataraj Dongre	79015
Ulrich R��de	163142
Maria Lucia Sampoli	7272
Stefan B. Williams	107433
Qingtang Jiang	4287
Stéphane Jaffard	21078
Ying Li	3854
Syed S. Ali	70955
Roberto Paredes	47173
Luis González Abril	38981
Yuri Pirola	40588
P. Mora	23278
Maryam Amirmazlaghani	4401
Sunho Park	43691
Jeffrey Tomkins	93166
Jyh-Shing Roger Jang	13027
Ingmar Lissner	5772
François Brunotte	114110
Derek Bruening	145855
Fabr��cio Alves Barbosa da Silva	163030
Dmytro Kevorkov	79982
Nestor A. Schmajuk	22452
Paul Stelling	121484
Maged N. Kamel Boulos	32748
Deendayal Dinakarpandian	92756
Peter H. Morgan	55246
Heng-Ming Chen	156328
Samuel Matej	2040
Leo W. Buss	50908
Elodie Gazave	85052
Ritu Pasrija	103070
Mehdi Khashei	57259
Bruce Elenbogen	122719
T. Shiau	161323
Ximeng Sun	151645
Plamen Bliznakov	8264
Fay Cobb Payton	29548
Ashraf M. Abdelbar	40907
Erik Gudmundson	21996
Hatem Hmam	20708
Xiaogang Dong	936
Zeren Gao	77103
Christian Y. A. Brenninkmeijer	29362
Seng-Huat Ong	3257
Wilfred W. K. Lin	73960
John Mantas	111627
Li-Wen Chang	4053
Rogério de Lemos	148752
Joern Ploennigs	27857
Mehdi Dehghan	45442
Ange Martinelli	146453
Andrew Yeckel	162751
Kok Choon Tan	28032
Ka Wong Chong	116381
Frans C. Heeman	148167
Cun Lu Xu	61504
Young-Yoon Lee	5331
Myron Flickner	1052
Giovanni Venturi	45444
Ji Lee	103992
Daniel J. Scales	155672
Marjorie Elizabeth Osborne Locke	92238
Wenkai Wang	53599
David L. Olson	30795
Eider B. Moore	94859
Farizuwana Akma	89642
Kup-Sze Choi	49893
Giulia Paciello	91563
Robert L. Cupo	160383
F. Escudero	47495
Lisen Mu	8760
Qing Nie	105407
K. P. Unnikrishnan	68226
Thomas J. Wollinger	146321
Dong Huang	50291
Hoi-Shun Lui	134056
Nicholas G. Hall	119026
Maitane Barrenechea	159309
Elton Glaser	124784
Archana Sekhar	128536
Refik Molva	127054
Iman Zamani	57808
Stefan K?nig	17929
Rusins Freivalds	40837
Yiyu Cai	8573
Muhammad Umer	28605
Lanny Sitanayah	129582
Jonathan White	95726
T. Obeidi	61084
Wu Liu	13191
Sriram Raghuraman	97622
Adriana Santoro	56865
Kuo-Jung Li	18300
Seon-Duck Jin	99312
Md. Abdul Hamid	140828
Ching-Yu Lin	137388
Magda Komorníková	57838
M. Brescia	42313
Dacheng Yang	109636
Natalia Munné	12779
Benoit Feix	146385
Sumeet Dua	113746
Jakub Lacki	100535
John Y. Kim	123824
Krishnankutty Chandrika Sivakumar	98357
Carol Y. Espy-Wilson	13859
Isaac Weiss	33615
Jesse S. A. Bridgewater	138275
Matthew Van Gundy	144826
Shekhar C. Mande	105192
U. E. Udoh	112061
Prasit Palittapongarnpim	105410
Sriram Subramaniam	263
Li-jie Guo	67557
Debargha Mukherjee	2190
Rob Malouf	36923
Sha Yao	158259
Liskin Swint-Kruse	81758
Allen C. Johnston	144911
James R. Bitner	118060
Yun-Weon Seo	30627
Tung-Sang Ng	18793
Alan Tan	90024
Y.-C. Liang	137306
Hai-Terng Liu	7916
Asim A.-F. Nabawi	22858
Daniele Loiacono	36399
L. Kr?mer	163281
Keith Noto	83139
Brian P. Anton	94022
Kylie L. Gorringe	87816
William Luh	143143
Pablo Gay	53730
Madhan Kumar	60976
David C. Heath	10248
Patrik Ottoson	31689
Amirhossein Hajihosseini	66319
D. Delaey	14718
Ion-Florin Talos	97589
Fangping Mu	83022
Daniel K. Chang	147856
Gerhard Fürstenberger	79928
E. J. Burton	114971
Laura Faulkner	71377
Sheng Ma	42273
Dalong Jiang	46167
Xiao Yuan Luo	140276
Mukaddim Pathan	130072
Andrea Capotorti	120150
Joost N. Kok	40248
Motoki Shiga	39926
M. T. Dlamini	144669
Guido Dedene	29923
J. S. Metcalfe	107396
Wataru Mitsuhashi	21038
Julie C. Dunning Hotopp	90561
Christopher G. Barbour	23395
Catherine Aaron	43307
Jess Gerrit Snedeker	115482
Sara J. Calafell	106377
M. L. Gastaminza	136811
Holger Dach	95533
S. Hemachander	60841
Michael L. Tress	81933
C. Å. Jonsson	152023
Kit Waal	74420
Osman Balci	147701
Gregorio Robles	146958
Devendra K. Tayal	56682
Taeho Kim	99909
Ming-Wei Chang	40165
Ross S. Purves	28509
Guangdi Wang	90804
Xiangyin Ma	6364
Sooun Lee	29534
Tariq Enver	103288
Bo-Liang Zhuang	20527
Xia Xie	153382
Amy Rasley	98101
Emilio Carrizosa	119021
Qin-Ma Kang	150576
Neyir Ozcan	69566
Michael (Shan-Hui) Ho	154028
Amy Weinberg	58440
Bulent Bilgehan	18312
Mohammad Mursalin Akon	130402
Jiri Ocenasek	40348
Theodore S. Rappaport	131579
Fred Glover	53007
Herman Kamper	16317
Manuel Lazo-Cortés	46497
Ragnar Thobaben	131937
Shuting Xu	153521
Jongwon Lee	30351
Waiming Kong	26596
Robert A. Ellen	53812
Shai Kaplan	102208
Satoshi Kurihara	69918
Kenny Dinh	92614
Richard G. Guy	140193
Walid Gomaa	40820
Paul Spee	162483
Chau-Wen Tseng	155645
Essam A. Sourour	159879
Israel Koltracht	161563
Shawn Seifring	95588
Bart De Schuymer	122521
Kung Yao	157519
Dongmei Jiang	137485
Daniel Swan	91772
Juan I. Vallejos	61974
X. T. Hu	9243
Susan Hohenberger	146133
Kerry L. Taylor	28157
Ingo Weber	29355
Brendon Harris	144009
Kazuki Maeda	159667
Majid Ahmadi	1794
Hamid Abrishami Moghaddam	21851
Abishek Ramdas	156984
Olivier Verscheure	1144
Ibrahim H. Osman	141392
Brant Hashii	126227
Nicola Barbarini	96172
Francisco J. Agosto-Perez	93137
Sumeet Du	44639
Michel Salomon	129690
Jin Jing	28940
Howard Sewerath Misser	160205
David S. Taubman	2111
Lavy Libman	126796
Yoshihiko Mochizuki	21912
Hervé Déjean	34975
Luciana Seda C. Gonçalves	152002
Paul A. Luce	15680
Rita Almeida Ribeiro	53283
Dushyanth Narayanan	140498
Halil Zaim	53641
Shuo Song	134371
Qi Mi	143046
Yudong Sun	104024
Wang-Qiang Niu	65326
William H. Wilson	104899
Mohamed F. Younis	124993
Edgar Brunner	86867
Nobukazu Ohki	80520
Ching-Seh Wu	114174
Alisdair R. Fernie	79370
Cathy Dudek	71614
Eileen Scanlon	71399
Saideh Ferdowsi	6037
Minghui Wang	6289
Javier Ballina	98522
Camille Kurtz	50282
Johan E. Vos	41803
Wenjing Yue	109327
Jehanzeb Burki	4318
Dave A. D. Tompkins	26144
Vadim Sheinin	12521
Itai Hayut	104215
Arnaud Giersch	161535
Masami Y. Hirai	94411
Yide Shen	52319
Hongyuan Zhang	131495
Sambuddha Roy	115997
L. Luyckx	111157
D. J. Fawcett	8104
Michael Kapralov	115942
Laehyun Kim	23796
Xianglong Liu	62163
Manash Jyoti Nath	32980
Jiali Yu	65990
Jens Schmitt	11998
Mauro Baluda	152362
Mario Marchente	112788
Tudor I. Oprea	87685
Osman N. Uçan	55013
Joshua D. Starmer	95010
Hui-Wen Kan	139417
Salvatore Torquato	103678
R. Kipp Jones	127257
Zöe Handley	15850
Hideki Maeda	95328
Michele Giugliano	63467
Jiu-jun Chen	9025
Ding-Chau Wang	28997
M. Ravindranath	60740
Joseph M. Perl	160465
Valerie A. Kickhoefer	92691
Qingfeng Chen	67561
Jianfeng Feng	41541
Dirk Büche	40347
Steve Spanier	136958
Jocelyn Fiorina	133400
Magne Jørgensen	146577
N. G. Silleos	32473
Damir Vukicevic	122620
M. Swartling	21793
Karl Gruber	97276
Andrew S. Peek	94276
Eric Pacuit	124489
Charles A. Brackett	160565
Antonio Gómez	64459
Armindo Salvador	103521
Don Kimber	11923
Udaya B. Kogalur	93131
Jingjing Xu	151954
Róbert Szabó	127099
Hajime Maeda	18391
D. Gong	147304
Francis Faux	19263
Vladas Pipiras	18452
Luc Mathieu	7009
Todd C. Mockler	87931
S. Zafiropoulos	8852
Q. S. Ai	21253
Alexander Kolesnikov	3721
Maya R. Gupta	4072
Kam-yiu Lam	126841
Clive J. Hoggart	87458
Bohom Wu	46550
Nelson Alves Jr.	106994
Thomas Franken	23597
Lonce L. Wyse	41717
Khaled Harfoush	128991
Ken-ichi Amemori	62888
Benoît Caillaud	118260
Rosemary J. Stevenson	71668
Sen Su	130464
Clemence Alasseur	131463
D. Hayner	160569
Roee Teper	57293
Wenbin Tang	67182
Chien-Lin Huang	12070
Georg Sczakiel	77667
Osman Yasar	162748
Bernhard Kauer	155155
Nikos Papamarkos	19400
Dusan Hvalica	121644
M. F. Qureshi	57194
Antoine H. C. van Kampen	79036
Ying Ge	91321
Robert Palais	89387
Laura Fumanelli	106872
Max H. Luttrell	3106
Thierry Coquand	119721
Avi Patel	154745
Scott Contini	156372
Danli Wang	153688
Ji-Hong Kim	91890
Shengdong Zhang	110281
Albert A. Angehrn	71799
Robert J. Piechocki	131159
Apollonia Tullo	96150
Matthew D. Rasmussen	102449
C. Cresswell	47978
Charles Mcclendon	91209
ChunMing Yuan	109910
Conrad H. Ziesler	163590
Zhiheng Zhou	4443
Bruno Salvy	116016
Derrick Morris	162194
Nicolas Houarche	156952
Philippe Gallois	20273
Y. Osada	80581
Animesh Patcha	128317
Paolo Mori	144576
Roberta Baronio	103036
Vidhyacharan Bhaskar	53246
Hujun Yin	41015
Hubert Hug	78769
Johnatan E. Pecero	156443
Lajos Pusztai	95705
Mark Chapman	91929
Todd K. Moon	18348
Helmut Kettenmann	103674
Pengyuan Wang	97588
Pablo Huerta	154174
Farshad Safaei	153676
Manuel Clergue	36465
Ruggero Reggiannini	134733
Wei-yu Kevin Chiang	51595
James A. Reeds	17137
Yi Ting Liao	50233
Vinsensius Berlian Vega SN	39513
Dan Holtby	152983
Gareth Williams	93935
L. Wald	32800
Thomas A. Throop	54406
Juan Antonio Carral Pelayo	127253
Jinhee Park	148635
Arnaud Devillez	55751
Che-Wen Wu	138612
Lie-Liang Yang	130831
Shinya Ishii	64921
Fareha Shafique	154964
Bernd Finkbeiner	117927
Serge Muller	57609
J. M. Cuadra	66746
Tianhua Niu	80477
Michimasa Kishimoto	55945
Daisaku Morita	93359
Seiichiro Naito	24142
Tony Hey	161048
Michael Frazier	39115
Alexei Soares	79991
Shung-Shing Lee	1803
Jacques-Olivier Lachaud	10950
Viraj Bhat	156181
Chrysoula C. Nikolaou	59519
Mun-Ho Jeong	48832
Thanh N. Trinh	28021
Donna J. Peuquet	32242
Erin F. Simonds	91678
Tongjun Ruan	55229
Meijuan Li	85337
Mingmin Zhang	25217
Ali E. Dashti	135614
John C. Earls	89299
Dominique Dudkowski	142993
Ahamed Khan	142677
Joachim Stadel	155370
Isabel Barrio	80103
Andriy Gelman	6155
Frédéric Beaugendre	15008
Terry Costantino	70289
Catherine Mooney	89894
Erin L. Haaser	108765
Zhao Zhao	67619
Peter J. Berkelman	107624
H. St. Werth	53956
Carl Tropper	125978
Elias S. Manolakos	100967
Jeremy B. Caplan	63090
Bulent Tastan	73064
Y. Sun	21972
Fuzhong Zhang	82913
Jing-Hao Xue	5452
Manuel Lagang	69081
Luigi Landini	112323
Gianluca De Marco	122648
Hiroshi Yamakawa	43154
Ruud Sommerhalder	162429
Leopold G. Koss	47576
Xiaofei Xu	50210
Marc Giusti	117598
Bharat K. Bhargava	29083
Widyo Cahyono Andi	138688
Isa Maks	53616
Yuliang Zheng	144005
Valerie Cardenas	37636
A. Davoli	139214
Gregory Grefenstette	36996
Lucian Wischik	124536
Sung Woo Kim	73553
Sujoy Basu	11403
Vladimir Gurvich	17502
Hanna Kurniawati	107910
Joan Wada	132968
Alla Karnovsky	87474
Moshe Rapp	68761
Arnold Smith	51006
Liwei Wu	46830
Farooq Ahmad	150502
R. Bocklandt	158416
Ying Wu	4214
Kraisak Kesorn	13116
Ulrich Melcher	82236
N. Cattini	81604
Laura Kallmeyer	36968
Josep Lluis Usó-Domènech	110926
Ki-Hun Han	3458
Carlos González	9363
Liu Wenyin	11593
Shao-Bin Cai	135101
Leonid A. Mirny	77455
Francisco Javier López Aligué	59805
Dean Adams	143736
Maciej Stodolski	42570
Jeong Gyu Lee	159258
Scott Y. T. Wu	47600
Marie C. M. Lin	82476
John Drakos	95410
Vladimir Surkov	163148
Sergey Molodtsov	122783
Michèle Gentil	15723
Juan R. González	83426
Ximin Jiang	29672
Jorge Ruiz-Calviño	57059
Mugen Peng	134016
Roberto Bellazzi	112690
Frederic Dijoux	109029
Pascal Benkert	88851
Peter Martini	73098
Chunming Yuan	10781
Hauke Schramm	13426
Maya Hatano	109072
Murat Köksalan	53103
Kai-Uwe Sattler	29325
George C. Philip	149097
Pablo Bermell-Garcia	28026
Yi-Nan Lin	137581
Tieshan Li	66771
A. R. Telfer	137027
Stefania Colonnese	2320
Antonio Grieco	141655
James M. Kroll	1806
Johan Van Cleynenbreugel	44561
Paul Saxman	99643
Mashhood Ishaque	17928
Arie Reichman	157881
Caryn Bern	106245
Jih-Shyr Yih	147917
Charlotte Hucher	134677
Xing Yi	48326
Ronen Eldan	17774
Daniel Wetzler	77194
Gabriela Dudnik	113574
Hua-Peng Zhang	57456
Christos V. Bourantas	114044
Mike Wilde	156292
Raheel Hassan Syed	154707
John Yin	82485
Peter J. Murphy	13431
Chang Sung Yu	142030
Samik Ghosh	87730
Habib M. Ammari	73072
Jan Pelzl	146320
J. Proakis	160420
Fei Cheng	65701
Reiner Dojen	125753
Eldad Tzahor	102564
Demba E. Ba	12461
Gabi Shefer	102555
Zi Yang	40056
V. Pallavi	12429
Stanko Strmcnik	64037
Dawn Rohm	139249
S. S. Nayak	17953
Wen-Hao Ho	56275
L. Stauffer	119278
Gong Chen	123992
Peter Stuckmann	135851
Lindsay C. J. Mercer	144333
Ching-Jung Liao	153053
K. Vijay-Shanker	36730
Gideon F. Inbar	41983
David C. Krakauer	51069
Mustapha Sadki	118984
Sam Mesiano	103536
Dilys Thomas	115734
Rached Tourki	56261
John Schwacke	93660
Kevin J. Trainor	53164
S. Bharath Ram	9562
L. H. Harper	121533
Eric Prud'hommeaux	98474
Detlef Seese	120021
Huang Zhi	44567
Jonathon Chambers	134645
Peter K. K. Loh	133092
Mounir A. Tantaoui	137959
Hsi-Mei Hsu	55956
Sivam Krish	9476
Ernesto L. Andrade	11311
Mauro Ciappa	156621
Ronald L. Hess	51620
Amrane Houacine	14327
Dusan P. Djurdjevic	36555
George S. Androulakis	42294
Gerald L. Thompson	119314
Andrey Vlasenko	4838
Taoufik En-Najjary	142329
Anthony Meehan	65028
Antonio Mancuso	6802
Shuhui Wang	13285
Paul van Binst	125389
Christian Igel	35258
Ki-Wan Kwok	10935
Ibrahim Ghareeb	159925
Martin Hasler	42886
C. Breslin	14383
Scott Boyer	99923
Wim M. Degrave	87563
Brijnesh J. Jain	35574
Huiling Xiong	95634
Aakrosh Ratan	99072
David Fofi	45732
Brian Rider	132810
Nathaniel St. Clair II	144228
Avinash Srinivasan	145398
Shinichi Baba	137490
Marcela Genero	146863
Bijan Bihari Misra	61461
Todd S. Braver	64968
Jim Esch	74864
Dave Cannon	23735
Yu-Jian Chen	7949
Lovelace J. Luquette	99930
Roberto Bruni	119686
Rémy Mosseri	120126
Yasuo Osawa	162592
Raj D. Iyer	34935
Olaf Christ	145350
Iain McKendrick	89899
Seok-Hee Hong	17427
Jonathan Cagan	6788
Kjell-Arild K. A. H. Hogda	92505
Pierre Charbonnier	613
Elena P. Sapozhnikova	49984
Muhammad Kafil	160684
Ryuichi Masumoto	66206
Amit Kumar Singh	57642
B. L. Kaptein	115261
Roberto Sassi	145326
Darren B. Meister	29709
Michael C. Grace	143561
Zheng Tian	21373
Seh Chun Ng	134676
Gabriele Blankenagel	116288
Jian Ren	134110
Bhupinder Singh Sethi	152700
V. Glenn Tarcea	85781
Hsin-Min Lu	53316
Jun Fan	105137
Namgyu Kim	148628
Jiang Yu Zheng	26857
Samuel Harris	68769
Matthew T. Hickenbotham	83742
Licheng Jiao	4042
Vesa Välimäki	20168
Olivier Barondeau	156735
Reid Pinchback	89296
Robin Thomas	116025
G. Roussopoulos	2334
Barbara Lazzari	83616
Chip Stewart	92409
Xingang Guo	137687
Sebastiano Stramaglia	22514
Murtuza Jadliwala	150936
Afzal Ballim	37147
Roderic D. M. Page	80603
Hang Chang	3828
T. Flash	108713
Andrew G. Birt	28751
Guillermo Gallego	33568
L. C. Calvez	19437
I. Coloma	162183
Antti Valmari	118207
Yasel Cruz	90575
Gonzalo Bailador	49590
Grégoire Pau	87831
Yea-Shuan Huang	46042
Matt Fredrikson	145950
Enrique Stevens-Navarro	140939
David A. Jaffray	115245
A. J. Fielding	23465
Isabel Seruca	149333
Patricia Florissi	126051
Annmarie Kelleher	75397
Joyce W. Yen	141406
Junming Hu	88421
Richard Magin	21637
Derek E. Armstrong	120538
A. Swami	19093
Christophe Renaud	26458
Seung Hwan Won	131151
Bill Yost	23479
Matthew Spenko	107389
Masaki Nomura	42485
Ye-Yi Wang	13472
Sylvie Chambon	34385
Özdemir Çetin	144656
Lung-An Li	82286
Howard Leung	38181
C. Scott Ananian	164034
Paul Bosscher	26949
David Bonacci	19977
Luis Vielva	18939
Thomas W. Laudeman	94807
Avan Suinesiaputra	89950
Noah Snavely	11203
Un Kun Yi	37773
Evangelos Karapanos	72330
Qiling Tang	48747
Jesper Salomon	97802
Daniel Keedy	106702
Paul Hyunjin Kim	25366
Raj Seshu	54464
Eric Chauvineau	26769
Chin-Seng Chua	3195
Gerald Birk	43483
T. Cheung	89051
Jun Makino	162009
Jim Weston	161170
Daniel Barraez	122327
I. Howard	15607
Nicholas J. Higham	161688
Thomas Kaiser	19791
Raphaël Blanc	115495
Alberto Morello	158479
Martin Reisslein	126890
Vera Tyrsa	23167
J. Lawrence	17143
Dehui Du	110540
Guy Desaulniers	119514
Paolo Milazzo	40668
Siddhartha Chattopadhyay	12053
Michaela Bayerlová	92412
B. O. Bauer	32070
Noura Limam	137861
Pramode K. Verma	127793
Malte Boegershausen	67747
Robert Houston	31847
Vincenzo Catania	135105
J. S. H. Kwan	83198
Andreas Kröber	148359
Richard L. Delanoy	2992
Lalit Gupta	45815
Wei Zha	158737
Xinlai Ni	27039
Aman Shaikh	129383
Uwe Bürger	125520
Dimitrios Syndoukas	66259
Pablo Serrano	73199
Liang-Ying Wei	54802
Bita Azimdoost	134709
Christopher Thomson	147019
Ferng-Shi Jaung	161943
Zenta Miyashita	108649
Kazuharu Kuroiwa	63635
B. F. McEwen	112473
J.-Angelo Beraldin	1298
Jason Riggle	37274
Tommy Cathey	92209
Yifan Gong	14506
Kang Sik Yoon	48236
Raquel Gurrea	29513
Peter Veprek	15137
Chee Kwang Quah	13301
Hironori Kasahara	155755
Zeshan Chishti	163510
O. Tchepel	110764
Jun Shen	18496
Sumita Mishra	129386
Kenichi Morita	40818
Masamichi Shimura	39623
Marc Bolduc	37426
Herbert A. Fr��chtl	162294
Yu Huang	24377
David Peleg	115671
Pin Chen	162101
Dechang Ren	67526
P. R. Stubley	25980
Vasileios K. Sakarellos	158462
Shinkuro Honda	152624
Ivan Dimitrov	87950
Richard Shrager	91337
Mariana S. C. Almeida	4521
Jingwei Li	62073
Anna Ursyn	24199
Seyed-Amin Hosseini-Seno	142941
Roger Mitton	70699
P. M. Melliar-Smith	122323
Olivier Hudry	120656
Gisella Facchinetti	55839
Zhong Xue	48249
E. Périnel	59052
M. Praveen	117547
K. Harada	108809
Daniel Coupal	148091
Rômulo Silva de Oliveira	69825
Olivier Hansen	103969
Eleanor M. Riley	106111
Michela Meo	12751
Frederik W. Jansen	23835
Ashis Gopal Banerjee	8707
Zhengqin Zou	109478
Patrick Grother	44917
Wolfram Stering	127622
Evila L. Melgoza	9966
Ángel Martín del Rey	121230
David L. Wilson	2599
Edina Hatunic	144179
Antonio Rodà	21293
Satoru Matsumoto	110283
Aleksandr A. Nechaev	121779
D. A. Montoya-Andrade	23003
Chiewon Lee	136107
Kazuyuki Shudo	138042
Jo Calder	58332
Sunita Gakkhar	98537
Hyung-Un Kim	108687
Klaus Ullmann	127772
John C. Gyllenhaal	163396
Feng-Wen Cao	69393
Joanne Bechta Dugan	148144
Vassilios N. Koukoulidis	136823
Matthieu Jules	91945
Jason W. Locasale	102859
Dong Hua Zhou	19345
Donald W. Sova	147090
Carole Blanc	23435
Begoña Santos	53123
Cynthia Tham	73648
Hideki Arata	26890
Kimberly Van Auken	97193
Dennis G. Howe	159338
Yuezhi Zhou	69907
Philipp Geyer	27671
Dimitri Komatitsch	9397
John L. Gustafson	119330
Janusz Kacprzyk	55779
Matthew C. Jones	28379
Catholijn M. Jonker	69971
Jan Grau	76134
Daniel Boichu	19169
Michael H. Holmes	77000
Andrew Tridgell	39171
Jeffry D. Sander	99983
Ralf Schafer	75546
Antônio Roberto Formaggio	61998
László van den Hoek	85530
Katsutoshi Ohtsuki	14840
Saptarshi Das	158739
Irina Babanskaja	153439
Utpal Mukherji	133673
Nan Feng	157186
Christian Gerber	51538
Jann Poppinga	107905
Fritz J. Sedlazeck	91503
Alessandro Dal Palù	93522
Vincent Teuli��re	159684
Fang Qi	145532
He Huang	41874
Balázs Szappanos	91744
Karl Reiner Lang	52554
Mohammad K. Ibrahim	47432
Tara Rengarajan	119668
Ruifeng Zhang	129932
Güray Erus	61655
Zhigang Luo	5415
E. C. Akeson	42245
Uta Wolfe	106715
Sebastien Marcille	159406
William J. Palmer	91354
Mitchell McLaren	143397
Cole Trapnell	86047
Areejit Samal	93640
Muhammad Talal Ibrahim	49641
Kaan Ozbay	141395
Ha Q. Nguyen	158459
Stefan Winter	76704
Guixia Liu	106524
António Pinto	129572
Alexander Serenko	29620
Stephen Hayne	148380
Bing-Yi Jing	91319
Agustin Fernández	25013
Jean-Christophe Olivo-Marin	985
Mike S. M. Jetten	88748
Tian Zheng	20305
Douwe van Sinderen	77037
Michael Zai	103656
Ruth Kearns	15493
René Bañares-Alcántara	6487
Paul Torrés	148925
Chris Engels	33846
Winfried E. Kühnhauser	144145
András Lörincz	35062
A. Hoppe	44799
Christophe Fraschini	19843
Rachel C. King	113015
Chuang-Cheng Chiu	61360
Siu F. Yeung	11902
Jitao Sang	13139
Wiggert A. van Cappellen	88639
Kathleen M. Egan	100039
George Stylianou	136625
Richard G. Langlois	77787
Kuo Hsin Yen	137085
Ariadi Nugroho	151799
R. Victor Klassen	23810
Cees H. Elzinga	62654
Betsy van Dijk	71839
Thom W. Frühwirth	54603
Susanne M. Rafelski	105945
Hui-Chih Wang	30742
Yongqiang Fu	56727
Rochit Rajsuman	163707
Jeffrey D. Parvin	86823
D. Ferreira	147230
A. Leu	132431
Sourabh Moharil	156348
Jengchung V. Chen	30485
Gareth J. Janacek	39143
J. A. Bakker	160747
Luigi Troiano	57356
Ming Yan	159028
Etienne van der Poel	64868
Christian Wolf	25338
